,word,category,sentiment
0,smut,negative,-1
1,explet,negative,-1
2,greet,positive,1
3,measl,negative,-1
4,inept,negative,-1
5,pervert,negative,-1
6,inconsequenti,negative,-1
7,unfulfil,negative,-1
8,lynch,negative,-1
9,constrain,negative,-1
10,agit,negative,-1
11,hash,negative,-1
12,inventor,positive,1
13,felic,positive,1
14,privi,negative,-1
15,wrongdo,negative,-1
16,satan,negative,-1
17,militia,negative,-1
18,civil,positive,1
19,artist,positive,1
20,estrang,negative,-1
21,metastasi,negative,-1
22,wait,negative,-1
23,gruesom,negative,-1
24,pawn,negative,-1
25,embezzl,negative,-1
26,lovabl,positive,1
27,servil,negative,-1
28,diseas,negative,-1
29,warden,negative,-1
30,rest,positive,1
31,superstar,positive,1
32,complic,negative,-1
33,tutelag,positive,1
34,fair,positive,1
35,oath,positive,1
36,tragic,negative,-1
37,naturalist,positive,1
38,misrepresent,negative,-1
39,advis,positive,1
40,opera,positive,1
41,cool,positive,1
42,share,positive,1
43,option,positive,1
44,purist,positive,1
45,hope,positive,1
46,death,negative,-1
47,satisfactorili,positive,1
48,shoplift,negative,-1
49,inadequaci,negative,-1
50,headach,negative,-1
51,enigmat,negative,-1
52,excit,positive,1
53,frenet,negative,-1
54,enchant,positive,1
55,depend,negative,-1
56,unlaw,negative,-1
57,lament,negative,-1
58,stifl,negative,-1
59,sound,positive,1
60,miser,negative,-1
61,behemoth,negative,-1
62,emin,positive,1
63,intrepid,positive,1
64,penalti,negative,-1
65,split,negative,-1
66,asham,negative,-1
67,obliter,negative,-1
68,outcom,positive,1
69,strike,positive,1
70,reproach,negative,-1
71,polit,positive,1
72,twinkl,positive,1
73,temper,positive,1
74,ruptur,negative,-1
75,verv,positive,1
76,grate,negative,-1
77,misguid,negative,-1
78,procur,positive,1
79,obedi,positive,1
80,lack,negative,-1
81,bridegroom,positive,1
82,offend,negative,-1
83,devast,negative,-1
84,satin,positive,1
85,obi,negative,-1
86,dissens,negative,-1
87,reform,positive,1
88,accept,positive,1
89,condemn,negative,-1
90,advis,positive,1
91,attend,positive,1
92,beg,negative,-1
93,mite,negative,-1
94,explod,negative,-1
95,thoughtless,negative,-1
96,archaic,negative,-1
97,unwash,negative,-1
98,intercours,positive,1
99,suppli,positive,1
100,posthum,negative,-1
101,rhythmic,positive,1
102,spook,negative,-1
103,sting,negative,-1
104,surpris,positive,1
105,excess,negative,-1
106,fleec,negative,-1
107,subvert,negative,-1
108,immort,positive,1
109,slough,negative,-1
110,unscath,positive,1
111,brigad,negative,-1
112,veng,negative,-1
113,knowledg,positive,1
114,danger,negative,-1
115,victori,positive,1
116,confisc,negative,-1
117,frolic,positive,1
118,exchang,positive,1
119,travail,negative,-1
120,heavili,negative,-1
121,veteran,positive,1
122,triumph,positive,1
123,degener,negative,-1
124,laxat,negative,-1
125,heft,positive,1
126,reclin,positive,1
127,housekeep,positive,1
128,unstabl,negative,-1
129,invalid,negative,-1
130,wildfir,negative,-1
131,virtu,positive,1
132,segreg,negative,-1
133,finess,positive,1
134,debaucheri,negative,-1
135,deal,positive,1
136,infrequ,negative,-1
137,dishearten,negative,-1
138,gospel,positive,1
139,angel,positive,1
140,dispos,negative,-1
141,lordship,positive,1
142,commend,positive,1
143,subsidi,negative,-1
144,smudg,negative,-1
145,wart,negative,-1
146,hesit,negative,-1
147,faint,negative,-1
